alpha,discount_factor,epsilon,min_epsilon,decay,train_episodes,max_steps,batch_size,replay_buffer_size,target_update,result_folder,train_start,layer_struct,Episodes till convergence,Average rewards last 100 episodes
0.001,0.95,1,0.01,0.995,10000,500,64,16000,3,iterative_runs/without/run_0,128,"[32, 32, 32, 16, 8]",1278,475.55
0.001,0.95,1,0.01,0.995,10000,500,64,16000,3,iterative_runs/without/run_1,128,"[32, 32, 32]",1779,475.24
0.001,0.95,1,0.01,0.995,10000,500,64,16000,5,iterative_runs/without/run_2,128,"[32, 32, 32, 16, 8]",4931,477.65
0.001,0.95,1,0.01,0.995,10000,500,64,16000,5,iterative_runs/without/run_3,128,"[32, 32, 32]",1579,477.59
0.001,0.95,1,0.01,0.95,10000,500,64,16000,3,iterative_runs/without/run_4,128,"[32, 32, 32, 16, 8]",9999,374.29
0.001,0.95,1,0.01,0.95,10000,500,64,16000,3,iterative_runs/without/run_5,128,"[32, 32, 32]",2161,477.01
0.001,0.95,1,0.01,0.95,10000,500,64,16000,5,iterative_runs/without/run_6,128,"[32, 32, 32, 16, 8]",1672,478.39
0.001,0.95,1,0.01,0.95,10000,500,64,16000,5,iterative_runs/without/run_7,128,"[32, 32, 32]",1297,475.49
0.001,0.95,1,0.01,0.995,10000,500,128,16000,3,iterative_runs/without/run_8,128,"[32, 32, 32, 16, 8]",819,476.62
0.001,0.95,1,0.01,0.995,10000,500,128,16000,3,iterative_runs/without/run_9,128,"[32, 32, 32]",1697,475.55
0.001,0.95,1,0.01,0.995,10000,500,128,16000,5,iterative_runs/without/run_10,128,"[32, 32, 32, 16, 8]",1327,476.27
0.001,0.95,1,0.01,0.995,10000,500,128,16000,5,iterative_runs/without/run_11,128,"[32, 32, 32]",2189,475.96
0.001,0.95,1,0.01,0.95,10000,500,128,16000,3,iterative_runs/without/run_12,128,"[32, 32, 32, 16, 8]",8573,475.5
0.001,0.95,1,0.01,0.95,10000,500,128,16000,3,iterative_runs/without/run_13,128,"[32, 32, 32]",1334,475.35
0.001,0.95,1,0.01,0.95,10000,500,128,16000,5,iterative_runs/without/run_14,128,"[32, 32, 32, 16, 8]",9999,169.77
0.001,0.95,1,0.01,0.95,10000,500,128,16000,5,iterative_runs/without/run_15,128,"[32, 32, 32]",2403,476.4
0.005,0.95,1,0.01,0.995,10000,500,64,16000,3,iterative_runs/without/run_16,128,"[32, 32, 32, 16, 8]",9999,226.96
0.005,0.95,1,0.01,0.995,10000,500,64,16000,3,iterative_runs/without/run_17,128,"[32, 32, 32]",8441,477.6
0.005,0.95,1,0.01,0.995,10000,500,64,16000,5,iterative_runs/without/run_18,128,"[32, 32, 32, 16, 8]",701,478.66
0.005,0.95,1,0.01,0.995,10000,500,64,16000,5,iterative_runs/without/run_19,128,"[32, 32, 32]",9999,193.09
0.005,0.95,1,0.01,0.95,10000,500,64,16000,3,iterative_runs/without/run_20,128,"[32, 32, 32, 16, 8]",1953,476.21
0.005,0.95,1,0.01,0.95,10000,500,64,16000,3,iterative_runs/without/run_21,128,"[32, 32, 32]",320,475.19
0.005,0.95,1,0.01,0.95,10000,500,64,16000,5,iterative_runs/without/run_22,128,"[32, 32, 32, 16, 8]",1078,475.05
0.005,0.95,1,0.01,0.95,10000,500,64,16000,5,iterative_runs/without/run_23,128,"[32, 32, 32]",1205,475.58
0.005,0.95,1,0.01,0.995,10000,500,128,16000,3,iterative_runs/without/run_24,128,"[32, 32, 32, 16, 8]",8394,477.25
0.005,0.95,1,0.01,0.995,10000,500,128,16000,3,iterative_runs/without/run_25,128,"[32, 32, 32]",8083,476.84
0.005,0.95,1,0.01,0.995,10000,500,128,16000,5,iterative_runs/without/run_26,128,"[32, 32, 32, 16, 8]",2486,475.41
0.005,0.95,1,0.01,0.995,10000,500,128,16000,5,iterative_runs/without/run_27,128,"[32, 32, 32]",9999,199.39
0.005,0.95,1,0.01,0.95,10000,500,128,16000,3,iterative_runs/without/run_28,128,"[32, 32, 32, 16, 8]",1482,476.47
0.005,0.95,1,0.01,0.95,10000,500,128,16000,3,iterative_runs/without/run_29,128,"[32, 32, 32]",1098,475.68
0.005,0.95,1,0.01,0.95,10000,500,128,16000,5,iterative_runs/without/run_30,128,"[32, 32, 32, 16, 8]",9999,293.63
0.005,0.95,1,0.01,0.95,10000,500,128,16000,5,iterative_runs/without/run_31,128,"[32, 32, 32]",284,477.13
